date,average
1995-03-04,0.1
1995-03-10,0.0
1995-03-20,0.1
1995-03-26,0.0
1995-04-03,0.1
1995-04-10,0.1
1995-04-18,0.1
1995-04-24,0.2
1996-04-01,0.1
1996-04-02,0.1
1996-04-03,0.1
1996-04-04,0.2
1996-04-05,0.3
1996-04-06,0.3
1996-04-07,0.3
1996-04-08,0.4
1996-04-09,0.1
1996-04-10,0.1
1996-04-11,0.1
1996-04-12,0.1
1996-04-13,0.1
1996-04-14,0.1
1996-04-15,0.1
1996-04-16,0.1
1996-04-17,0.2
1996-04-18,0.1
1996-04-19,0.1
1996-04-20,0.1
1996-04-21,0.1
1996-04-22,0.1
1996-04-23,0.1
1996-04-24,0.0
1996-04-25,0.0
1996-04-26,0.0
1996-04-27,0.0
1996-04-28,0.0
1996-04-29,0.0
1996-04-30,0.0
1998-04-01,3.0
1998-04-02,2.5
1998-04-05,3.5
1998-04-06,3.6
1998-04-07,3.5
1998-04-13,2.3
1998-04-14,2.0
1998-04-15,1.5
1998-04-19,1.2
1998-04-20,1.3
1998-04-21,1.3
1998-04-29,0.5
1998-04-30,0.4
1998-05-03,0.3
1998-05-04,0.2
1998-05-05,0.2
1998-05-13,1.2
1998-05-14,1.2
1998-05-15,0.8
1998-05-20,0.2
1998-05-21,0.1
1998-05-22,0.1
1998-05-28,0.1
1998-05-29,0.1
1998-05-30,0.1
1999-03-01,0.0
1999-03-02,0.1
1999-03-03,0.1
1999-03-04,0.1
1999-03-05,0.1
1999-03-06,0.1
1999-03-07,0.1
1999-03-08,0.1
1999-03-09,0.1
1999-03-10,0.1
1999-03-11,0.1
1999-03-12,0.1
1999-03-13,0.1
1999-03-14,0.1
1999-03-15,0.1
1999-03-16,0.2
1999-03-17,0.6
1999-03-18,0.4
1999-03-19,0.2
1999-03-20,0.4
1999-03-21,0.4
1999-03-22,0.5
1999-03-23,0.6
1999-03-24,1.1
1999-03-25,1.0
1999-03-26,1.1
1999-03-27,0.7
1999-03-28,0.5
1999-03-29,0.4
1999-03-30,0.5
1999-03-31,0.5
1999-04-01,0.6
1999-04-02,0.6
1999-04-03,0.4
1999-04-04,0.4
1999-04-05,0.3
1999-04-06,0.3
1999-04-07,0.3
1999-04-08,0.3
1999-04-09,0.2
1999-04-10,0.2
1999-04-11,0.2
1999-04-12,0.2
1999-04-13,0.2
1999-04-14,0.2
1999-04-15,0.2
1999-04-16,0.2
1999-04-17,0.2
1999-04-18,0.2
1999-04-19,0.1
1999-04-20,0.1
1999-04-21,0.1
1999-04-22,0.1
1999-04-23,0.1
1999-04-24,0.1
1999-04-25,0.1
1999-04-26,0.1
1999-04-27,0.1
1999-04-28,0.1
1999-04-29,0.1
1999-04-30,0.1
2001-04-02,0.1
2001-04-03,0.1
2001-04-04,0.1
2001-04-09,0.1
2001-04-10,0.1
2001-04-11,0.1
2001-04-15,0.1
2001-04-16,0.1
2001-04-17,0.1
2001-04-24,0.1
2001-04-25,0.1
2001-04-26,0.1
2001-04-28,0.1
2001-04-29,0.1
2001-04-30,0.1
2004-03-15,0.3
2004-03-16,0.3
2004-03-17,0.3
2004-03-18,0.2
2004-03-19,0.2
2004-03-20,0.2
2004-03-21,0.2
2004-03-22,0.2
2004-03-23,0.2
2004-03-24,0.2
2004-03-25,0.2
2004-03-26,0.2
2004-03-27,0.2
2004-03-28,0.2
2004-03-29,0.2
2004-03-30,0.2
2004-03-31,0.2
2005-03-15,0.1
2005-03-16,0.1
2005-03-17,0.1
2005-03-18,0.2
2005-03-19,0.2
2005-03-20,0.1
2005-03-21,0.1
2005-03-22,0.1
2005-03-23,0.1
2005-03-24,0.1
2005-03-25,0.3
2005-03-26,0.6
2005-03-27,0.9
2005-03-28,0.7
2005-03-29,0.6
2005-03-30,0.3
2005-03-31,0.3
2005-04-01,0.3
2005-04-02,0.7
2005-04-03,1.2
2005-04-04,1.3
2005-04-05,1.4
2005-04-06,1.0
2005-04-07,0.9
2005-04-08,0.7
2005-04-09,0.4
2005-04-10,0.3
2005-04-11,0.2
2005-04-12,0.3
2005-04-13,0.4
2005-04-14,0.5
2005-04-15,0.5
2005-04-16,0.8
2005-04-17,0.6
2005-04-18,0.4
2005-04-19,0.3
2005-04-20,0.4
2005-04-21,0.4
2005-04-22,0.5
2005-04-23,0.4
2005-04-24,0.3
2005-04-25,0.3
2005-04-26,0.3
2005-04-27,0.2
2005-04-28,0.2
2005-04-29,0.2
2005-04-30,0.2
2005-05-01,0.2
2005-05-02,0.2
2005-05-03,0.1
