date,average
1995-02-14,11.3
1995-02-15,11.4
1995-02-16,12.8
1995-02-17,11.6
1995-02-18,13.8
1995-02-19,14.0
1995-02-20,14.0
1995-02-21,14.1
1995-02-22,13.9
1995-02-23,12.9
1995-02-24,13.1
1995-02-25,13.0
1995-02-26,14.2
1995-02-27,13.4
1995-02-28,15.3
1995-03-01,16.0
1995-03-02,13.6
1995-03-03,12.0
1995-03-04,13.7
1995-03-05,16.7
1995-03-06,16.3
1995-03-07,12.5
1995-03-08,10.2
1995-03-09,8.9
1995-03-10,7.5
1995-03-11,6.1
1995-03-12,6.8
1995-03-13,7.4
1995-03-14,11.3
1995-03-15,14.4
1995-03-16,15.6
1995-03-17,16.3
1995-03-18,15.8
1995-03-19,17.6
1995-03-20,19.5
1995-03-21,18.7
1995-03-22,19.2
1995-03-23,17.2
1995-03-24,13.9
1995-03-25,13.1
1995-03-26,14.3
1995-03-27,13.9
1995-03-28,15.7
1995-03-29,17.1
1995-03-30,16.3
1995-03-31,15.0
1995-04-01,14.3
1995-04-02,14.0
1995-04-03,16.1
1995-04-04,17.3
1995-04-05,13.9
1995-04-06,11.5
1995-04-07,9.8
1995-04-08,7.1
1995-04-09,7.9
1995-04-10,8.7
1995-04-11,8.4
1995-04-12,9.3
1995-04-13,9.7
1995-04-14,11.2
1995-04-15,10.9
1995-04-16,11.6
1995-04-17,11.4
1995-04-18,11.4
1995-04-19,10.9
1995-04-20,11.0
1995-04-21,11.6
1995-04-22,10.7
1995-04-23,11.2
1995-04-24,11.3
1995-04-25,12.9
1995-04-26,13.9
1995-04-27,15.5
1995-04-28,15.9
1995-04-29,15.6
1995-04-30,15.8
1995-05-01,15.2
1995-05-02,15.6
1995-05-03,15.9
1995-05-04,15.3
1995-05-05,16.0
1995-05-06,16.7
1995-05-07,19.1
1995-05-08,18.5
1995-05-09,17.5
1995-05-10,18.7
1995-05-11,19.7
1995-05-12,19.6
1995-05-13,17.9
1995-05-14,14.4
1995-05-15,14.2
1995-05-16,14.9
1995-05-17,14.7
1995-05-18,14.6
1995-05-19,14.3
1995-05-20,11.4
1995-05-21,11.2
1995-05-22,12.4
1995-05-23,12.3
1995-05-24,11.8
1995-05-25,11.3
1995-05-26,12.1
1995-05-27,11.5
1995-05-28,10.4
1995-05-29,8.7
1995-05-30,8.5
1995-05-31,9.2
1995-06-01,8.8
1995-06-02,8.6
1995-06-03,8.7
1995-06-04,8.8
1995-06-05,9.9
1995-06-06,11.4
1995-06-07,11.8
1995-06-08,11.7
1995-06-09,12.7
1995-06-10,12.6
1995-06-11,12.5
1995-06-12,10.5
1995-06-13,10.7
1995-06-14,11.0
1995-06-15,11.5
1996-01-01,6.2
1996-01-02,5.7
1996-01-03,5.9
1996-01-04,4.6
1996-01-05,3.3
1996-01-06,3.7
1996-01-07,4.0
1996-01-08,4.2
1996-01-09,4.7
1996-01-10,5.4
1996-01-11,6.4
1996-01-12,5.4
1996-01-13,5.3
1996-01-14,5.3
1996-01-15,4.6
1996-01-16,4.3
1996-01-17,3.2
1996-01-18,3.0
1996-01-19,5.4
1996-01-20,7.1
1996-01-21,8.2
1996-01-22,8.9
1996-01-23,8.4
1996-01-24,9.4
1996-01-25,9.6
1996-01-26,6.7
1996-01-27,6.7
1996-01-28,5.5
1996-01-29,6.0
1996-01-30,7.4
1996-01-31,8.0
1996-02-01,11.5
1996-02-02,13.3
1996-02-03,12.4
1996-02-04,12.6
1996-02-05,13.6
1996-02-06,13.1
1996-02-07,13.4
1996-02-08,13.2
1996-02-09,12.7
1996-02-10,13.2
1996-02-11,12.7
1996-02-12,11.5
1996-02-13,8.1
1996-02-14,7.4
1996-02-15,7.2
1996-02-16,7.0
1996-02-17,8.1
1996-02-18,10.9
1996-02-19,13.3
1996-02-20,14.8
1996-02-21,15.5
1996-02-22,18.3
1996-02-23,17.3
1996-02-24,15.9
1996-02-25,15.5
1996-02-26,10.9
1996-02-27,10.0
1996-02-28,9.1
1996-02-29,6.1
1996-03-01,10.5
1996-03-02,12.5
1996-03-03,13.3
1996-03-04,13.0
1996-03-05,13.9
1996-03-06,14.5
1996-03-07,14.3
1996-03-08,12.8
1996-03-09,11.8
1996-03-10,12.0
1996-03-11,12.6
1996-03-12,12.7
1996-03-13,11.6
1996-03-14,9.3
1996-03-15,7.8
1996-03-16,8.5
1996-03-17,9.3
1996-03-18,9.5
1996-03-19,9.7
1996-03-20,10.6
1996-03-21,11.4
1996-03-22,11.5
1996-03-23,11.9
1996-03-24,12.2
1996-03-25,12.5
1996-03-26,11.2
1996-03-27,11.2
1996-03-28,10.7
1996-03-29,8.6
1996-03-30,8.2
1996-03-31,9.3
1996-04-01,10.7
1996-04-02,12.2
1996-04-03,13.0
1996-04-04,14.2
1996-04-05,15.7
1996-04-06,15.6
1996-04-07,14.6
1996-04-08,13.3
1996-04-09,11.7
1996-04-10,10.5
1996-04-11,10.4
1996-04-12,11.0
1996-04-13,13.8
1996-04-14,14.8
1996-04-15,14.6
1996-04-16,15.0
1996-04-17,14.2
1996-04-18,13.4
1996-04-19,13.8
1996-04-20,12.4
1996-04-21,13.1
1996-04-22,14.0
1996-04-23,13.3
1996-04-24,12.6
1996-04-25,11.5
1996-04-26,11.1
1996-04-27,10.7
1996-04-28,11.7
1996-04-29,10.9
1996-04-30,11.3
1996-05-01,11.7
1996-05-02,11.4
1996-05-03,11.4
1996-05-04,10.8
1996-05-05,10.5
1996-05-06,10.1
1996-05-07,9.3
1996-05-08,8.2
1996-05-09,8.3
1996-05-10,10.2
1996-05-11,9.4
1996-05-12,10.3
1996-05-13,10.5
1996-05-14,10.5
1996-05-15,8.6
1996-05-16,7.9
1996-05-17,8.5
1996-05-18,7.0
1996-05-19,7.1
1996-05-20,6.8
1996-05-21,5.6
1996-05-22,5.0
1996-05-23,3.7
1996-05-24,4.1
1996-05-25,4.0
1996-05-26,5.4
1996-05-27,5.5
1996-05-28,7.2
1996-05-29,9.5
1996-05-30,9.1
1996-05-31,9.0
1996-06-01,8.7
1996-06-02,9.2
1996-06-03,9.2
1996-06-04,9.2
1996-06-05,9.3
1996-06-06,7.1
1996-06-07,6.1
1996-06-08,6.0
1996-06-09,6.1
1996-06-10,7.4
1996-06-11,6.9
1996-06-12,5.3
1996-06-13,3.3
1996-06-14,2.5
1996-06-15,2.3
1996-06-16,2.2
1996-06-17,2.0
1996-06-18,2.3
1996-06-19,2.8
1996-06-20,3.1
1996-06-21,3.2
1996-06-22,3.2
1996-06-23,4.4
1996-06-24,4.3
1996-06-25,4.9
1996-06-26,4.9
1996-06-27,4.6
1996-06-28,4.2
1996-06-29,4.0
1996-06-30,3.0
1997-02-02,3.0
1997-02-03,2.8
1997-02-04,2.9
1997-02-05,3.3
1997-02-09,6.2
1997-02-10,8.2
1997-02-11,7.7
1997-02-12,8.1
1997-02-16,4.6
1997-02-17,4.2
1997-02-18,4.9
1997-02-19,4.6
1997-02-25,10.6
1997-02-26,10.1
1997-02-27,10.0
1997-02-28,9.6
1997-03-01,3.6
1997-03-02,8.7
1997-03-03,9.0
1997-03-04,7.8
1997-03-09,11.3
1997-03-10,11.6
1997-03-11,9.6
1997-03-12,7.4
1997-03-15,7.2
1997-03-16,5.4
1997-03-17,6.9
1997-03-18,6.3
1997-03-24,18.2
1997-03-25,18.7
1997-03-26,18.1
1997-03-27,17.7
1997-03-30,12.0
1997-03-31,9.7
1997-04-01,9.4
1997-04-02,9.3
1997-04-06,14.5
1997-04-07,11.7
1997-04-08,12.4
1997-04-09,10.5
1997-04-14,5.4
1997-04-15,6.1
1997-04-16,8.0
1997-04-17,8.0
1997-04-23,16.0
1997-04-24,15.7
1997-04-25,15.7
1997-04-26,16.5
1997-04-29,6.3
1997-04-30,5.9
1997-05-01,5.4
1997-05-02,5.1
1997-05-06,9.6
1997-05-07,9.9
1997-05-08,11.1
1997-05-09,10.9
1997-05-13,11.0
1997-05-14,10.9
1997-05-15,10.9
1997-05-16,11.0
1997-05-22,11.0
1997-05-23,10.4
1997-05-24,10.6
1997-05-25,10.2
1997-05-27,6.8
1997-05-28,7.8
1997-05-29,8.7
1997-05-30,6.2
1997-06-04,6.0
1997-06-05,5.6
1997-06-06,4.9
1997-06-07,4.1
1997-06-13,8.7
1997-06-14,9.8
1997-06-15,10.0
1997-06-16,9.7
1997-06-21,9.2
1997-06-22,9.1
1997-06-23,8.7
1997-06-24,8.5
1997-06-26,9.7
1997-06-27,7.7
1997-06-28,6.6
1998-02-06,12.3
1998-02-07,13.7
1998-02-08,14.6
1998-02-13,17.4
1998-02-14,16.9
1998-02-15,16.6
1998-02-20,9.5
1998-02-21,9.6
1998-02-22,8.8
1998-03-01,23.0
1998-03-02,21.9
1998-03-08,13.0
1998-03-09,14.9
1998-03-10,15.3
1998-03-15,20.0
1998-03-16,20.3
1998-03-17,20.9
1998-03-20,14.0
1998-03-21,13.5
1998-03-22,12.1
1998-04-01,26.1
1998-04-02,24.8
1998-04-05,19.7
1998-04-06,20.4
1998-04-07,21.8
1998-04-13,21.4
1998-04-14,21.6
1998-04-15,21.0
1998-04-19,22.6
1998-04-20,21.5
1998-04-21,22.7
1998-04-29,25.3
1998-04-30,25.2
1998-05-03,22.8
1998-05-04,22.9
1998-05-05,24.8
1998-05-13,17.3
1998-05-14,20.3
1998-05-15,19.5
1998-05-20,16.5
1998-05-21,17.1
1998-05-22,16.2
1998-05-28,14.5
1998-05-29,14.0
1998-05-30,13.6
1998-06-02,9.5
1998-06-03,10.4
1998-06-04,11.0
1998-06-10,9.8
1998-06-11,10.5
1998-06-12,10.0
1998-06-18,7.9
1998-06-19,7.4
1998-06-20,7.0
1998-06-25,6.4
1998-06-26,6.8
1998-06-27,6.7
1999-02-01,12.5
