date,station,average
1997-01-14,502,0.0
1997-01-15,502,0.0
1997-01-16,502,0.0
1997-01-17,502,0.0
1997-01-18,502,0.1
1997-01-19,502,0.1
1997-01-20,502,0.1
1997-01-21,502,0.1
1997-01-22,502,0.1
1997-01-23,502,0.1
1997-01-24,502,0.1
1997-01-25,502,0.1
1997-01-26,502,0.1
1997-01-27,502,0.1
1997-01-28,502,0.1
1997-01-29,502,0.1
1997-01-30,502,0.1
1997-01-31,502,0.1
1997-02-01,502,0.2
1997-02-02,502,0.3
1997-02-03,502,0.3
1997-02-04,502,0.3
1997-02-05,502,0.3
1997-02-06,502,0.3
1997-02-07,502,0.3
1997-02-08,502,0.4
1997-02-09,502,0.3
1997-02-10,502,0.1
1997-02-11,502,0.1
1997-02-12,502,0.2
1997-02-13,502,0.1
1997-02-14,502,0.2
1997-02-15,502,0.2
1997-02-16,502,0.2
1997-02-17,502,0.2
1997-02-18,502,0.2
1997-02-19,502,0.4
1997-02-20,502,0.6
1997-02-21,502,0.6
1997-02-22,502,0.7
1997-02-23,502,0.8
1997-02-24,502,0.9
1997-02-25,502,0.9
1997-02-26,502,0.8
1997-02-27,502,0.9
1997-02-28,502,0.9
1997-03-01,502,0.8
1997-03-02,502,0.7
1997-03-03,502,0.7
1997-03-04,502,0.7
1997-03-05,502,0.7
1997-03-06,502,1.0
1997-03-07,502,1.1
1997-03-08,502,1.2
1997-03-09,502,1.3
1997-03-10,502,1.2
1997-03-11,502,1.2
1997-03-12,502,1.2
1997-03-13,502,1.2
1997-03-14,502,1.1
1997-03-15,502,1.2
1997-03-16,502,1.3
1997-03-17,502,1.1
1997-03-18,502,1.0
1997-03-19,502,1.0
1997-03-20,502,1.1
1997-03-21,502,1.2
1997-03-22,502,1.3
1997-03-23,502,1.4
1997-03-24,502,1.4
1997-03-25,502,1.4
1997-03-26,502,1.5
1997-03-27,502,2.3
1997-03-28,502,2.6
1997-03-29,502,2.6
1997-03-30,502,2.4
1997-03-31,502,2.5
1997-04-01,502,2.9
1997-04-02,502,2.9
1997-04-03,502,2.4
1997-04-04,502,2.4
1997-04-05,502,2.7
1997-04-06,502,2.9
1997-04-07,502,2.3
1997-04-08,502,2.3
1997-04-09,502,2.0
1997-04-10,502,1.7
1997-04-11,502,1.6
1997-04-12,502,1.6
1997-04-13,502,1.4
1997-04-14,502,1.2
